fund,offer,redeem,inv1,inv2
000179.OF,"[[[50.0, 100.0, 500.0, inf], [0.013, 0.007, 0.003, 1000.0]], [[50.0, 100.0, 500.0, inf], [0.0052, 0.0028, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000180.OF,"[[[10.0, 20.0, 100.0, inf], [0.013, 0.007, 0.003, 200.0]], [[10.0, 20.0, 100.0, inf], [0.0052, 0.0028, 0.0012, 200.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000181.OF,"[[[50.0, 200.0, 500.0, inf], [0.008, 0.004, 0.001, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0032, 0.0016, 0.0004, 1000.0]]]","[[7, 60, inf], [0.015, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000182.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000183.OF,"[[[100.0, 300.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0024, 0.0016, 0.0008, 1000.0]]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000184.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0032, 0.0015, 0.0006, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000185.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000186.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 120, 365, inf], [0.015, 0.005, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000187.OF,"[[100.0, 200.0, 500.0, inf], [0.008, 0.006, 0.004, 1000.0]]","[[7, 30, 365, inf], [0.015, 0.005, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000188.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000189.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 100.0]], [[100.0, 500.0, inf], [0.0008, 0.0004, 1000.0]]]","[[6, 29, 364, 729, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000190!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000190.OF,"[[100.0, 200.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000191.OF,"[[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]], [[100.0, 500.0, inf], [0.0008, 0.0005, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000192.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000193.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000194.OF,"[[[50.0, 100.0, 200.0, 500.0, inf], [0.008, 0.006, 0.005, 0.003, 1000.0]], [[50.0, 100.0, 200.0, 500.0, inf], [0.0024, 0.0018, 0.0015, 0.0009, 1000.0]]]","[[7, 180, 365, 730, inf], [0.015, 0.0037, 0.003, 0.0017, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000195.OF,"[[100.0, 300.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000196.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000197.OF,"[[[100.0, 500.0, inf], [0.006, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0006, 0.0004, 1000.0]]]","[[7, 30, inf], [0.015, 0.01, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000198.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000199!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000199.OF,"[[100.0, 300.0, 500.0, inf], [0.012, 0.008, 0.005, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000200.OF,"[[100.0, 500.0, 1000.0, inf], [0.006, 0.004, 0.002, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000201.OF,"[[100.0, 200.0, 500.0, inf], [0.006, 0.003, 0.002, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000202.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000203.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000204.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000205.OF,"[[[100.0, 200.0, 500.0, 1000.0, inf], [0.008, 0.005, 0.003, 0.0015, 1000.0]], [[100.0, 200.0, 500.0, 1000.0, inf], [0.0008, 0.0005, 0.0003, 0.0001, 1000.0]]]","[[6, 29, 364, 729, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000206.OF,"[[inf], [0.0]]","[[6, 29, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000207.OF,"[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000208.OF,"[[inf], [0.0]]","[[7, 20, inf], [0.015, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000209.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000210.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000211.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000212.OF,"[[100.0, 500.0, inf], [0.006, 0.003, 1000.0]]","[[0, 7, inf], [0.01, 0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000213.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000214.OF,"[[[100.0, 300.0, 500.0, inf], [0.015, 0.009, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.006, 0.0036, 0.0012, 1000.0]]]","[[7, 30, 180, 365, 730, inf], [0.015, 0.0075, 0.005, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000215.OF,"[[[100.0, 500.0, 1000.0, inf], [0.015, 0.009, 0.003, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.006, 0.0036, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000216.OF,"[[[300.0, 500.0, inf], [0.004, 0.0015, 1000.0]], [[inf], [100.0]]]","[[7, 365, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000217.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000218.OF,"[[[100.0, 200.0, 500.0, inf], [0.007, 0.003, 0.001, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0028, 0.0012, 0.0004, 500.0]]]","[[7, 365, 730, inf], [0.015, 0.002, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000219.OF,"[[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[50.0, 100.0, 500.0, inf], [0.0015, 0.001, 0.0006, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000220.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000221.OF,"[[100.0, 500.0, inf], [0.006, 0.003, 1000.0]]","[[0, 7, inf], [0.001, 0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000222.OF,"[[inf], [0.0]]","[[0, 7, inf], [0.001, 0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000225.OF,"[[[50.0, 200.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0018, 0.0012, 0.0006, 1000.0]]]","[[7, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000226.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000227.OF,"[[[300.0, 500.0, inf], [0.004, 0.002, 1000.0]], [[inf], [100.0]]]","[[7, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000235.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000236.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0032, 0.0015, 0.0006, 1000.0]]]","[[365, 730, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000237.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000238.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000239.OF,"[[[inf], [500.0]], [[100.0, 300.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]]]","[[7, 365, inf], [0.015, 0.002, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000240.OF,"[[inf], [0.0]]","[[7, 365, inf], [0.015, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
000241.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000242.OF,"[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000244.OF,"[[100.0, 300.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000245.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000246.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000247.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000248.OF,"[[100.0, 500.0, inf], [0.01, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000251.OF,"[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000252.OF,"[[[50.0, 200.0, 500.0, inf], [0.008, 0.004, 0.002, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0032, 0.0016, 0.0008, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.003, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000253.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000254.OF,"[[[100.0, 300.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0012, 0.0008, 0.0004, 1000.0]]]","[[7, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000255.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000256.OF,"[[100.0, 500.0, inf], [0.012, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000257.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000258.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000259.OF,"[[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.008, 1000.0]], [[50.0, 100.0, 500.0, inf], [0.0015, 0.001, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000260.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000263.OF,"[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000264.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 730, 1095, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000265.OF,"[[[100.0, 200.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0006, 0.0004, 0.0002, 1000.0]]]","[[6, 29, inf], [0.015, 0.0075, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000266.OF,"[[inf], [0.0]]","[[6, 29, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000267.OF,"[[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0032, 0.002, 0.0012, 1000.0]]]","[[7, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000268.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000269.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000270.OF,"[[100.0, 200.0, 500.0, inf], [0.012, 0.008, 0.006, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000271.OF,"[[100.0, 500.0, inf], [0.006, 0.004, 1000.0]]","[[6, 29, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000272.OF,"[[inf], [0.0]]","[[6, 29, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000273.OF,"[[50.0, 100.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000274.OF,"[[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0032, 0.002, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.01, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000275.OF,"[[[16.0, 35.0, 100.0, inf], [0.008, 0.005, 0.003, 200.0]], [[16.0, 35.0, 100.0, inf], [0.0032, 0.002, 0.0012, 200.0]]]","[[7, 365, 730, inf], [0.015, 0.01, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000277.OF,"[[100.0, 300.0, 500.0, inf], [0.009, 0.006, 0.0008, 1000.0]]","[[0, 0, inf], [0.01, 0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000278.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000279.OF,"[[50.0, 200.0, 500.0, 50.0, 200.0, inf], [0.015, 0.012, 0.008, 0.0015, 0.0012, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000280.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000281.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000284.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000285.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000286.OF,"[[[100.0, 200.0, 500.0, inf], [0.007, 0.005, 0.003, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0021, 0.0015, 0.0009, 1000.0]]]","[[[7, 180, 365, 730, inf], [0.015, 0.0037, 0.003, 0.0017, 0.0]], [[7, 180, 365, 730, inf], [0.015, 0.0037, 0.003, 0.0017, 0.0]]]","['普通投资群体', '养老金账户']","['普通投资群体', '社保,养老金,企业年金']"
000287.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000288.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000289.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0012, 1000.0]]]","[[7, 365, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000290.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000291!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000291.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000292.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000293.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000294.OF,"[[[300.0, 500.0, inf], [0.012, 0.008, 1000.0]], [[inf], [100.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000295.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0012, 1000.0]]]","[[7, 365, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000296.OF,"[[inf], [0.0]]","[[7, 365, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000297.OF,"[[[100.0, 500.0, 1000.0, inf], [0.008, 0.004, 0.002, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.0032, 0.0016, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000298.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0032, 0.0015, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000299.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000300.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000301.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000302.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000303.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000304.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000305.OF,"[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 30, 365, inf], [0.015, 0.0075, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000306.OF,"[[[100.0, 200.0, 500.0, inf], [0.01, 0.008, 0.004, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.001, 0.0008, 0.0004, 1000.0]]]","[[7, 30, 365, 730, 1095, inf], [0.015, 0.0075, 0.001, 0.0008, 0.0006, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000307.OF,"[[[100.0, 200.0, 500.0, inf], [0.007, 0.003, 0.001, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0007, 0.0003, 0.0001, 1000.0]]]","[[6, 364, 729, inf], [0.015, 0.002, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000308.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000309.OF,"[[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]], [[100.0, 500.0, inf], [0.006, 0.004, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000310.OF,"[[100.0, 500.0, 1000.0, inf], [0.007, 0.005, 0.003, 1000.0]]","[[7, 360, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000311.OF,"[[[50.0, 100.0, 500.0, 1000.0, inf], [0.012, 0.008, 0.003, 0.0015, 1000.0]], [[50.0, 100.0, 500.0, 1000.0, inf], [0.0012, 0.0008, 0.0003, 0.0001, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000312.OF,"[[[inf], [500.0]], [[100.0, 300.0, 500.0, inf], [0.012, 0.008, 0.005, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000313.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000314.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000315.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000316!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000316.OF,"[[[100.0, 500.0, inf], [0.006, 0.003, 1000.0]], [[100.0, 500.0, inf], [0.0018, 0.0009, 1000.0]]]","[[7, 30, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000317.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000318.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000319.OF,"[[[100.0, 250.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 250.0, 500.0, inf], [0.002, 0.0013, 0.0008, 1000.0]]]","[[6, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000320.OF,"[[inf], [0.0]]","[[6, 29, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000322.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000323.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000324.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000325.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000326.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.009, 0.003, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000327.OF,"[[100.0, 500.0, 1000.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[365, 1095, inf], [0.02, 0.01, 0.0]]",['普通投资群体'],['普通投资群体']
000328.OF,"[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]]","[[7, 365, 730, 1095, inf], [0.015, 0.005, 0.0035, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
